id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,totalSpent,userId
5ff1e1eb0a720f0523000575,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687531000,1609687531000,1609687531000,1609687536000,1609687531000,500,1609632000000,5,26,5ff1e1eacfcf6c399c274ae6
5ff1e1bb0a720f052300056b,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687483000,1609687483000,1609687483000,1609687488000,1609687483000,150,1609601083000,2,11,5ff1e194b6a9d73a3a9f1052
5ff1e1f10a720f052300057a,5,All-receipts receipt bonus,1609687537000,1609687537000,,1609687542000,,5,1609632000000,1,10,5ff1e1f1cfcf6c399c274b0b
5ff1e1ee0a7214ada100056f,5,All-receipts receipt bonus,1609687534000,1609687534000,1609687534000,1609687539000,1609687534000,5,1609632000000,4,28,5ff1e1eacfcf6c399c274ae6
5ff1e1d20a7214ada1000561,5,All-receipts receipt bonus,1609687506000,1609687506000,1609687511000,1609687511000,1609687506000,5,1609601106000,2,1,5ff1e194b6a9d73a3a9f1052
5ff1e1e40a7214ada1000566,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687524000,1609687524000,1609687525000,1609687530000,1609687525000,750,1609601124000,1,3.25,5ff1e1e4cfcf6c399c274ac3
5ff1e1cd0a720f052300056f,5,All-receipts receipt bonus,1609687501000,1609687501000,1609687502000,1609687502000,1609687502000,5,1609687501000,1,2.23,5ff1e194b6a9d73a3a9f1052
5ff1e1a40a720f0523000569,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687460000,1609687460000,1609687461000,1609687461000,1609687461000,500,1609027200000,1,10,5ff1e194b6a9d73a3a9f1052
5ff1e1ed0a7214ada100056e,5,All-receipts receipt bonus,1609687533000,1609687533000,1609687534000,1609687538000,1609687534000,5,1609632000000,5,20,5ff1e1eacfcf6c399c274ae6
5ff1e1eb0a7214ada100056b,250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687531000,1609687531000,1609687531000,1609687536000,1609687531000,250,1609632000000,3,20,5ff1e1eacfcf6c399c274ae6
5ff1e1c50a720f052300056c,100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687493000,1609687493000,1609687493000,1609687493000,1609687493000,100,1609601093000,1,1,5ff1e194b6a9d73a3a9f1052
5ff1e1a10a720f0523000568,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687457000,1609687457000,1609688360000,1609688360000,1609687459000,750,1609545600000,5,50,5ff1e194b6a9d73a3a9f1052
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687478000,1609687478000,,1609687478000,,8850,1612365878000,10,290,5ff1e194b6a9d73a3a9f1052
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1604089079000,1604089079000,,1609687494000,1604089080000,750,1604002679000,11,1,5f9c74f7c88c1415cbddb839
5ff1e1b20a7214ada100055a,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687474000,1609687474000,1609687475000,1609687475000,1609687475000,300,1612365875000,1,1,5ff1e194b6a9d73a3a9f1052
5ff1e1e90a7214ada1000569,,,1609687529000,1609687529000,,1609687529000,,,,0,0,5ff1e1e9b6a9d73a3a9f10f6
5ff1e1df0a7214ada1000564,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609687519000,1609687519000,1609687520000,1609687525000,1609687519000,750,1609601119000,2,11,5ff1e1dfcfcf6c399c274ab3
